"","RAF_cat","mean_b","lb_b","ub_b","ct","Gender","condition"
"1","(0,0.25]",2.82033602926808,0.851663365639315,7.60747774987911,8800,"male","Cerebral"
"2","(0.25,1]",4.00247903083026,1.29818163126766,10.5306599361041,8800,"male","Cerebral"
"3","(1,2]",11.9953451843716,4.31176238752874,29.7891062137136,8800,"male","Cerebral"
"4","(2,5]",24.4249249752073,8.79688643813498,60.672609997358,8800,"male","Cerebral"
"5","(5,10]",39.3815263139622,14.4367429304734,98.0465428152424,8800,"male","Cerebral"
"6","(10,200]",46.1566962606604,16.4835732646643,114.423155211124,8800,"male","Cerebral"
"7","(0,0.25]",12.8992068807064,8.03810624794207,20.2171817930718,8800,"female","Cerebral"
"8","(0.25,1]",11.5173569888146,7.01916645859855,18.4031651387694,8800,"female","Cerebral"
"9","(1,2]",24.1096122806691,15.7410983416988,36.0723226793097,8800,"female","Cerebral"
"10","(2,5]",43.5389977315372,28.4437509083566,65.0972042995625,8800,"female","Cerebral"
"11","(5,10]",67.8229590278945,44.3259984943082,101.358831377654,8800,"female","Cerebral"
"12","(10,200]",77.9426888233596,51.0763501472381,116.100550020733,8800,"female","Cerebral"
"13","(0,0.25]",2.15925033254326,1.14001185374043,3.54196875304743,8800,"male","T1D"
"14","(0.25,1]",2.48507836042574,1.4017599785364,4.07363123352381,8800,"male","T1D"
"15","(1,2]",2.43572703250084,-1.01342387697363,7.47567239647823,8800,"male","T1D"
"16","(2,5]",2.45027346671839,-4.43982048411181,13.721972224001,8800,"male","T1D"
"17","(5,10]",-1.42611233680525,-11.0836770970319,12.4933835399989,8800,"male","T1D"
"18","(10,200]",10.1897495899264,-22.7136905171383,63.4209003248707,8800,"male","T1D"
"19","(0,0.25]",-8.6733344651486,-18.929020662301,-3.74512239628457,8800,"female","T1D"
"20","(0.25,1]",-10.7739345604868,-23.8264285857028,-4.60236890681362,8800,"female","T1D"
"21","(1,2]",-34.3791877549851,-75.5012963261906,-17.4531621123371,8800,"female","T1D"
"22","(2,5]",-54.0375549549475,-118.95019840722,-27.5617463433074,8800,"female","T1D"
"23","(5,10]",-55.4598538426872,-121.333052811348,-28.1418868156013,8800,"female","T1D"
"24","(10,200]",-148.016923356807,-326.597817368286,-75.9643010702172,8800,"female","T1D"
"25","(0,0.25]",2.26234867245974,1.33122396978319,3.67801583777528,8800,"male","Cancer"
"26","(0.25,1]",2.28919852081253,1.34325514381928,3.72805548047296,8800,"male","Cancer"
"27","(1,2]",5.01285789018688,4.06928181341827,6.71982825426767,8800,"male","Cancer"
"28","(2,5]",7.46183342791968,6.06934970944033,10.1178869679285,8800,"male","Cancer"
"29","(5,10]",10.7977446474297,8.67832589032116,15.0842209280513,8800,"male","Cancer"
"30","(10,200]",19.9941222870851,16.0127559575271,28.1596918171505,8800,"male","Cancer"
"31","(0,0.25]",-1.05114485643382,-2.55836964929827,-0.278421972395698,8800,"female","Cancer"
"32","(0.25,1]",-1.05358582133748,-2.5494303941058,-0.283768245962207,8800,"female","Cancer"
"33","(1,2]",-4.45135084857646,-8.14149296516547,-2.23622610667692,8800,"female","Cancer"
"34","(2,5]",-7.32766608414342,-13.2453839695405,-3.78927442464828,8800,"female","Cancer"
"35","(5,10]",-12.2489581013513,-21.7447184980342,-6.57762623209544,8800,"female","Cancer"
"36","(10,200]",-18.9990444592939,-33.5149679739447,-10.3172062205009,8800,"female","Cancer"
"37","(0,0.25]",1.70997389147908,1.09035102721841,2.5372656552058,8800,"male","Trauma"
"38","(0.25,1]",1.85157281929759,1.20164354094051,2.71170642457668,8800,"male","Trauma"
"39","(1,2]",5.34040049710618,4.37743552321386,6.62892023179876,8800,"male","Trauma"
"40","(2,5]",8.37504299117949,6.92427511320568,10.5361953266554,8800,"male","Trauma"
"41","(5,10]",12.0747441837681,9.98607711708127,15.2066599450687,8800,"male","Trauma"
